i,time
100,0.0002
150,0.0004
200,0.0007
250,0.0011
300,0.0020
350,0.0024
400,0.0035
450,0.0052
500,0.0075
550,0.0078
600,0.0099
650,0.0105
700,0.0125
750,0.0157
800,0.0181
850,0.0215
900,0.0234
950,0.0262
1000,0.0310
1050,0.0340
1100,0.0372
1150,0.0416
1200,0.0444
