i,time
100,0.0046
150,0.0198
200,0.0552
250,0.1138
300,0.1874
350,0.3123
400,0.4639
450,0.6518
500,0.8894
550,1.0710
600,1.3897
650,1.7572
700,2.2523
750,2.7507
800,3.4616
850,5.0789
900,7.6026
950,16.8365
1000,22.7981
1050,30.5410
1100,33.9219
1150,51.1052
1200,66.6219
