i,time
200,0.0003
400,0.0010
600,0.0025
800,0.0044
1000,0.0064
1200,0.0108
1400,0.0144
1600,0.0195
1800,0.0265
2000,0.0318
2200,0.0423
2400,0.0481
2600,0.0566
2800,0.0669
3000,0.0774
3200,0.0902
3400,0.1010
3600,0.1158
3800,0.1375
4000,0.1466
4200,0.1597
4400,0.1834
4600,0.2080
4800,0.2153
5000,0.2344
5200,0.2533
5400,0.2869
5600,0.3234
5800,0.3198
6000,0.3809
6200,0.3824
6400,0.4246
6600,0.4440
6800,0.4570
7000,0.5149
7200,0.5187
7400,0.5558
7600,0.6301
7800,0.6514
8000,0.6753
8200,0.7402
8400,0.7539
8600,0.8387
8800,0.8007
9000,0.8711
9200,0.9578
9400,0.9602
9600,1.0072
9800,1.0229
10000,1.0585
